id,dialect,dialect_l_encoded,text,arabic_region
838606506819989504,BH,13,عندك ناس يعيشو بلا هم . . وين ما تروح يصيبك بلاهم . . وعندك ناس ما تسوا بلاهم . وعندك ناس ياريتك بلاهم . . ,Gulf
1077452859267010560,SA,2,« 💙 » ـ فــي نــاس ! . . يـجـون عـن طـريـق الـصـدف، لٰـڪـن بـدون مـبـالـغـهۂ يـدخـلــون بـاعـمـق نـقـطـهۂ بـقـلـبـڪ . . ‹ ✨ ء . ,Gulf
1095867539886878848,SD,1,حسابشخصي ممكن وبس عاوزين شي للثوره السلميه حقتنا تمام الايام دي ماعندنا حمل حاجه اصلا موفقه كمان,Maghrebi
865640925468303360,OM,0,حسابشخصي تو بتخلص وظفار متقدم مع فرصه خطيره للشباب الحين 😂 والتعادل يخدم ظفار 🌚 ,Gulf
769145524150759424,DZ,14,حسابشخصي شكرا يا حلوه ربي يخليك,Maghrebi
1157615978135609088,IQ,8,اغلب الحسابات اللي تكون بيها صوره حلوه ، تجد صاحبه الحساب غير حلوه ،واللي مخليات صور رمزيه او شخابيط يطلعن صاكات فاخرات ,Gulf
1031227524565676032,PL,11,حسابشخصي والله رسمي ما حدا داري عنا,Levantine
926477814597144576,LB,5,حسابشخصي ارجعو لكلام حسن نصرالله وتاريخه بتعرفو انتو شو مصيركن يااغبياء,Levantine
1139599046803447808,PL,11,حسابشخصي هي اي وقت بتفوتي عندها عالبيت بتلاقيها جوات الغساله 😂 تسلميلي صوفي,Levantine
883007675650494464,TN,16,جماعه فلوس الحج عاون بيهم الفقراء خير ابداو برواحكم و تذكرو الي فلوس الشراب زاده تنجمو تعاونو بيهم الفقراء,Maghrebi
931649679154208768,DZ,14,الحلافي حاس انه العيافي #زد_رصيدك 46 ,Maghrebi
975115377427574784,LB,5,حسابشخصي روح رفيق الحريري بقلب كل واحد فينا,Levantine
951767446591102976,IQ,8,حسابشخصي هه مو شفت واحد كاتب شي نرفزني وسوالي بلوك 😂 ,Gulf
1107730325642403840,JO,6,ايش بتهيا للاب اللي بحط ابنه بحضنه و ع اساس بسوق ؟ يعني الولد رح يطلع شوماخر ؟ طب منتا عليت اهلي و انا بزمر,Levantine
1071117382092054400,YE,12,حسابشخصي حراس الطماطيس هؤلاء اسيادك اللي بيصورو,Gulf
1039584800905080832,AE,15,عيدوا النظر . . . . مب ان شاء الله ان شاء الله . . . . . فالكم الطيب ومنك ماميش اقروا هذه التغريده 👇 رابطويب,Gulf
190401499145310208,BH,13,حسابشخصي حبيبي والله وانت الابداع,Gulf
1145756745240912000,OM,0,حسابشخصي نااس شغاله ع نفسها 😂 وجلسو انتو ع كان زمان 🤣 ,Gulf
1160210238345220096,KW,3,حسابشخصي حسابشخصي اتفق يملك كل المقومات انه يفوز ب الابطال وفعلا الطموح ارتفع حقق كل شي محلي ويبي الابطال وعنده فريق قوي وكل سنه يطلع بطريقه غريبه عجيبه ماعدا الي طافت بس هم كان خروج غير متوقع,Gulf
1160543482194399232,IQ,8,حسابشخصي حسابشخصي حسابشخصي ضلعي خليك وياي المضغوطين بالمنشن ويانه,Gulf
904301167953539200,AE,15,حسابشخصي هيه والله صدقج 😱 هالمنطر ما كان موجود العام,Gulf
1187795028862799872,TN,16,حسابشخصي اكبر كذبه 🤣 الباك حتي شي مقارنه بالجامعه 😭 ,Maghrebi
508613441477959680,MA,9,السلام عليكم بليز اي حساب سكسي لا يتابعني ولا اتابعه انا حسابي لناس المحترمه ولي تابعني علي طول بلوك مع احترامي لكل متابعيني الراقين,Maghrebi
805760124006633472,EG,10,و اللي اصعب من السكوت، انك تبقي مش عارف انت ساكت ليه ! ! تعب ؟ وجع ؟ زهق ؟ مش فاهم,Egyptian
398182185364377600,SY,7,زهرات سوريا صاروا يبيعوا ورد بلبنان . . حسبنا الله ونعم الوكيل ها لطفله الحلوه اسمها علا # children _ syria رابطويب,Levantine
1177315471252701184,MA,9,حسابشخصي 😁 😁 😁 خويا حسن قتلتيني والله اصلا المغرب ولا عاطي غير الشطيح والرديح والقرعه والكاس,Maghrebi
746350281940672512,IQ,8,حسابشخصي حسابشخصي والله صح زيودي الحبيب,Gulf
984745609428131840,IQ,8,حسابشخصي الدوري ما خلص عندهم ؟ ,Gulf
706106343820828672,SY,7,انت اللي معك ( password ) ضحكتي ❤️ – k ä nner sig ä lskad ,Levantine
1075377410327990400,QA,4,حسابشخصي حسابشخصي حسابشخصي حسابشخصي مجنون انت ! ! الصراحه جرب ها الموضوع عندك قبل 🤣 الصراحه بلوك ما عندي وقت اضيعه مع واحد مب صاحي قال اهد الجواز لقطري واجيكم 🤣 ,Gulf
581500763827888128,SA,2,حسابشخصي حسابشخصي طيب فيه احسن منه,Gulf
1185301515612889088,LB,5,من وقت ما خبط راسو بالارض و انا عتلانه هم البلد #ارحل #اجا_وقت_نحاسب رابطويب,Levantine
1151424036632707200,OM,0,حسابشخصي خليهم يحاولوا باكر يتحمسوا ويضبطوا الصور,Gulf
940680956154974208,BH,13,حسابشخصي وشهو البكره صار عندي فضول 😂 ,Gulf
965477103654317952,OM,0,حسابشخصي الف مبرووك وتستاهلوا كل خير,Gulf
1169176529257078784,SA,2,حسابشخصي اتوقع الاثنين يابوالمهند ممسوح بصر وبصير بالاضافه انه مغضوب عليه ولا تتوقع فيه شخص صاحي يناظر في تلك الخنفساء الا شخص داعين عليه نصف الكره الارضيه 😂 ,Gulf
989125818717785984,PL,11,الجميل بالامر ان عدد اللي بيطلعو من حياتي اكثر من اللي بيجو جديد وهاد مخليلي مساحه جميله انظر فيها ع حالي,Levantine
535491925155913728,OM,0,حسابشخصي الله يبارك فيكم . . هذي كوره قدم . . ,Gulf
1174301157973352448,LY,17,حسابشخصي شوفتي اللي قولتيه عني هذا كله انت والله واكثر وحبوبه وتخشي الخاطر وروحك جدا جميله 🌷 ❤❤,Maghrebi
784864530912403456,MA,9,حسابشخصي وايه فقدت الامل فيه وطلعت بقصه الاعجاب ولاحظت انه مابغاش يقول سيليباطير فدخلها الحجر مع الصباط,Maghrebi
1159424760134156288,MA,9,حسابشخصي راه فرقت عليهم الكينات وفرق عليهم مدير المخيم الميكات وحيت هو مراضيش عطاها لصاحبو قالك هو مكيردش 😂 الصباح فطرنا وهو دابا رد عليا,Maghrebi
297720978857922560,SD,1,الدنياا مسرحيه ؛ يا تمثل صح ! ! يا تشد الكرسي و تصفق للي عرفوا يمثلوا عليك o . O للعقول الراقيه . . . ,Maghrebi
901910901766443008,DZ,14,حسابشخصي كي نتفكر تبون وقصتو مع الخليفه نقول هو كيفهم لكنه الاقل سوء,Maghrebi
1119504955910578176,KW,3,حسابشخصي حسابشخصي بالضبط من المصور تقدر تعرف انه مو عربي,Gulf
460217426421239808,JO,6,حسابشخصي حتاتي انتي اموت طخ بفرد مي اناا فديتكك يا قلبوشتي,Levantine
1164245877290143488,OM,0,وكان الناس من حولي حجر امي وهل بعد امي من بشر #نبع_الحنان,Gulf
1167579115806953472,DZ,14,حسابشخصي حسابشخصي حسابشخصي بالتوفيق ليه و لكم,Maghrebi
959117283443474432,PL,11,الخميس صار بزهق بشكل ملل 😒 ,Levantine
928924601870180352,OM,0,حسابشخصي مساء الانوار يا طرب اصيل ولحن عذب وديجيه روعه واحساس رهيب 🌹 ,Gulf
842817029572845568,LB,5,حسابشخصي ما بينفع . لازم يمون مستزلم عند حدا ساعتها بياخذ حقو,Levantine
1151239259526979584,MA,9,حسابشخصي تي راه انا اللي غنتعايب مع عباد الله ااو كل عام كيدوز مرور الكرام,Maghrebi
1170809936873492480,TN,16,سي الزبيدي خوذ راحتك ، ماناش مزروبين جمله,Maghrebi
811664876925878272,TN,16,حسابشخصي حسابشخصي سلامتك حبيبتي الله يجعله بميزان حسناتكم يارب,Maghrebi
1024026037691269248,SA,2,حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي انا اسمي مش مكتوب لييه والا عشان انا فلاح 😭 رابطويب,Gulf
968182856592822400,LY,17,ارض ليبيه تحتل . . طاجين ممكن وهما مراهنين انه ( البهاليل ) الثوار مش حيقدرو يصبرو حتي لو كان طاجين وبصفتي واحد من البهاليل اللي ماشي يحسبني,Maghrebi
1124668057677381632,QA,4,حسابشخصي صج تفكيرهم وصخ 👎 🏻باجر بيترجون قطر ويتمنون يلعبون في هالملعب 😎 ,Gulf
957988531661664384,LB,5,حسابشخصي المشكله ما فينا كتير ننتقد بيزعلو الكل . . . بلد طائفي مقيت و الكل بيدافع عن حزبو وطايفتو لو كان ع غلط ! ! ,Levantine
917087324026146816,EG,10,نفس احساس ماتش ام درمان رايحين يصعدو ردت في صدرهم اتفرجو علي كاس العالم في التلفزيون رابطويب,Egyptian
754989390057857024,SA,2,حسابشخصي الله يبشرك بالخير يا ابوطلال ومشكور اخونا ضافي,Gulf
881548604028178432,PL,11,حسابشخصي شوف الصوره عندي ، شوف راسه شو فيه 🙃 ,Levantine
879721263710834688,PL,11,حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي هي امه اسمها مليكه هالوقت فهمت عاوز يملك كل اشي زي امه اليهوديه,Levantine
1049690911469432832,OM,0,حسابشخصي حسابشخصي ربي يبارك فيك استاذي,Gulf
1177754153558401024,EG,10,عشان كده لما ظهر محمد علي عرفت ان وراه الاخوان وش عموما غباؤهم كالعاده بيلبسهم فالحيطه فاتعلمو بعد كده ان اي جمل سلبيه بتتكرر كتير من المعارضه لفتره طويله خصوصا ضد الجيش يبقي وراها الاخوان,Egyptian
462134000593944576,SY,7,انشرها حتي يستفيد غيرك و احتسب الاجر و الثواب . رابطويب,Levantine
1151446983875420160,SD,1,حسابشخصي باين انو كانت فته وزيتها كتير الراجل ح ينوم واقف 😂 ,Maghrebi
787422848067497984,DZ,14,حسابشخصي كيف اتحب انجاوب الان,Maghrebi
1065569952596402176,MA,9,حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي ضحكتني هه الله يهدي ماخلق,Maghrebi
1146412417947225984,KW,3,جاهم الدور مشرف مرتين باليوم انقطاع الكهربا طال كل مناطق الكويت يقولك يجيبون جنريتر وبعدين يتفاجئون خربان وين الصيانه وين الملاين تروح ما ندري رابطويب,Gulf
1157223323497050112,LY,17,حسابشخصي ربي يحفظك الا ما تلقي من يفقدك ويدور عليك,Maghrebi
905930549805686784,DZ,14,ياارب اسمع خبر حلو يخليني ابكي 😢 ياارب,Maghrebi
1177375695158353920,SA,2,حسابشخصي حسابشخصي مادريتي قانون التحكيم السعودي يد لاعب الهلال فخد,Gulf
990887340024442752,TN,16,حسابشخصي احسن حاجهتعملها في حياتك، اني سكرتو جمله و لكن تفرجت علي البرنامج في التلفزه,Maghrebi
1097591799298904064,QA,4,#كل_قطر_معاك_يالغرافه المفروض الجمهور اللي بيحضر المباراه مع الشكر لكل غيور ومحب لاسم النادي ولكن المفروض اللي يحضرون الملعب فقط مجلس اداره النادي مع الطاقم الاداري وموظفين النادي و حسابشخصي عشان ينطبق عليهم المثل اللي يقول طبخ طبختيه اكليه 🙄 ,Gulf
955364432615526400,QA,4,حسابشخصي حسابشخصي حسابشخصي شل نظارتك الي مغطيه نص وجهك وبتعرف,Gulf
1076908599836901376,SY,7,في حدا عامل عرض ٥٠ ٪؜ فاجاه زباين كتيير ماتحمل متجره سكر بوجه العالم وقلعهم وكان يحاسب العالم حساباته كلها غلط بياخد زياده علي الفاتوره ١٠ او ١٥ يورو لانه مابيعرف يجمع بعدين بيجي بنزل بوست اعتذار للعالم بعد . . . رابطويب,Levantine
1049786089639239552,SD,1,حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي قال دي ما قواته ،قواته كانت في معسكر وطلعت منو في اكتوبر ،وقال دي ما شغلتهم ومابشتغلوها,Maghrebi
1128522402504290432,KW,3,حسابشخصي حسابشخصي انته منو عشان تحكم علي مثقفه ولالا ؟ وين الثقافه بكلامك اصلا ؟ انته لو فيك ذره ثقافه و استيعاب جان استوعبت تعليقي الاول . . بس انته تبي تتليقف وبس 🤷 🏻 ♀️ فكنا والي يعافيك . . وثانيا لاتقولني حجي ماقلته كلامي واضح مشكلتك اذا مخك مصكر . . وياريت لو ماترد لانك ازعجتني بصراحه,Gulf
1105100295124725760,SA,2,حسابشخصي مو يعني بارده يا قلبي مثلا احنا نحط كرتون في الثلاجه و كرتون طالع,Gulf
1120663213165748224,LB,5,حدا يخربوا لهيدا الدب ترامب انو ما حدا بالكون بيقدر يعرف اي معلومه عن حزب الله . . . الله بس #شئفتجحش,Levantine
1151184369224179584,OM,0,#الحب_هو بانتظارك لو يشيب الراس وايامي تمر بانتظارك لو معي بنتين والثالث ولد . . . ! ! * رابطويب,Gulf
833594074766667776,KW,3,الي يمي متسنده علي سناده كرسي وكوعها بزندي . . . ماراح اقول شنو احساسي بس خزتي واضح ان خرعتها 🙆 🏼,Gulf
1023359326554124416,MA,9,حسابشخصي حسابشخصي قالك من قلب رجاوي 😑 الله يخليني نثيق . . . ,Maghrebi
1124844279699054592,LY,17,حسابشخصي حسابشخصي دز ايه توا تلقي 😂 . . وليلتك تسلم . ,Maghrebi
909775685903945600,IQ,8,حسابشخصي اني اتبرا من هذا النائب . ليش ما تخلون اشراف قضائي لو تريدوها بكيفكم تلعبون بالنتائج,Gulf
1032000986729144448,YE,12,الله حسيب الشعور اللي تبلاني مازال يسرح ويمرح بالحشا ماكن مشاعر الشوق وين الشوق وداني لبيه يللي غلاه بداخلي ساكن #عاشق كل عام وانتم بخير رابطويب,Gulf
1189218998560399360,DZ,14,حسابشخصي وهو المعمول بيه في الوقت الراهن 👌 ,Maghrebi
404187969835499520,KW,3,حسابشخصي عيل شلون يقولون يخلق من الشبه اربعين ؟ ؟ ,Gulf
933213795471765632,EG,10,حسابشخصي لسه كنت بافكر كده وانا بالبس 🤔 ,Egyptian
970770016848240640,DZ,14,حسابشخصي حسابشخصي حسابشخصي علاش نتوما واش قلكم ياك كل واحد يتلهي في بلادو و في امور الشخصيه علي هذا العرب قعدو لاهين غير برواحهم حتي راهم التوالي شوفو لحالتكم خالونا في حالنا حنا يعجبنا و الفايده فينا راهو منا اتقوا الله,Maghrebi
1051738441975615616,LY,17,حسابشخصي 🇸🇾 يسعد صباحو احلي قلب 😍 ❤ كتير حبيت المقال 👌 بتستاهل ياروحي كل هالكلام الحلو 😍 😘 الله يسعدك ويحميك ياقلبي ❤ 🙏 يخليلي الخجول 😂 ❤ #جمهوري_وغوالي_قلبي_الغير_الشكل 👌 … رابطويب,Maghrebi
1006140203575234560,EG,10,حسابشخصي حسابشخصي جول في اوروجواي في الدقيقه ٨٥ نزلت بديل لرمضان هجمه مرتده كوره طويله من طارق حامد ولفيتهاله لفه جاتووه والماتش خلص ٢ واحد لينا 💙 ,Egyptian
929785859024531584,IQ,8,حسابشخصي عندنا في بغداد بقت لمده دقيقه,Gulf
1007449793076056064,MA,9,اهم حاجه عقلتي عليا الزين ❤ 😘 رابطويب,Maghrebi
929737924337430400,IQ,8,نشوف بعد منو يگول راح اكسر راسچ رابطويب,Gulf
1064464785838874624,BH,13,حسابشخصي تبين بيديو صاقع بنيه وداها وري الشمس وحليوه بعد 😂 ,Gulf
972773682262237184,EG,10, * الصوره دي بتمثلني اوي الفتره دي * رابطويب,Egyptian
650964373708632064,OM,0,حسابشخصي شي باص سيد لكن يمكن خلص مايشل,Gulf
1125021990241427584,KW,3,علينا و عليك يتبارك اللهم امين رابطويب,Gulf
1093110127752855552,SA,2,حسابشخصي حسابشخصي ياقردي توني انتبه 😂 بير 😂 ,Gulf
918161008866230400,SD,1,حسابشخصي دا السوداني عبدوش حسابشخصي وزيزو حسابشخصي دا سوري ولا شنو ما عارف لكن مبدعين والله,Maghrebi
978066715786600448,OM,0,حسابشخصي 😅 من حوثي ؟ ! ، بس حبيت اعلق عليك انه اشكري ربك انها جات كذا م يحتاج الاستهزاء اتمني لكم الامن والامان 🌹 ,Gulf
1167207165804916736,LY,17,حسابشخصي لين قويت اضاءه النقال باش شوفتها شويه وشككتوني في عيوني 😭 اللهم صلي وسلم وبارك علي نبينا محمد,Maghrebi
1171614522941083648,EG,10,حسابشخصي سفروه بدل ما تخسروه,Egyptian
812025342449819648,OM,0,حسابشخصي معوضين خير ي بوحسن,Gulf
1137519686516715648,MA,9,حسابشخصي حسابشخصي حسابشخصي جات حدا قريه اركمان جبت لكم الخريطه كااع رابطويب,Maghrebi
1064780754230628352,IQ,8,وحده سمينه كالت لزوجها عندي ملابس واريد اتبرع بيها كال زوجها ذبيهن بالزباله احسن كالت اكو ناس محتاجه ميته جوع كال زوجها الي تلبس نفس مقاسج مو جوعانه 🤣 الله لايوفقئ كسر خاطرها 💔 خطيه ماتعشت بس 5 لفات سمبوسه وفلافل 😂 رابطويب,Gulf
1068215519289978752,AE,15,اول ويكند تقبض الخط وانت مستانس 😂 ,Gulf
990043426765799424,SD,1,حب المحلب المسحون الجوه الجسيم معطون بياضا سمروهوا اللون ده الخلاني شيلته العيطه واا من ناره من كبريته -- وياعود شجيره الطلحه المحروقه بقت فوحه وحاه الرسول يا السمحه بجيك لو بتحصل ميته واا من ناره من كبريته رابطويب,Maghrebi
927989951358226432,OM,0,حسابشخصي هئااه وانا من دخل الشتاء كله اغسل وجهي بماي حار 💔 ششكرا ميسااء ❤️ ,Gulf
285831472328355840,KW,3,مرت سريعه هالسنہ ه مادرينا♥ م كانها الا بـاديهہ قبل يومين ! ♥ ياما تضايقنا وياما سلينا♥ ( كم جا بها غالي وكم راح غالين ) . ! #,Gulf
919211949287727232,AE,15,ان سرك الوقت ياجعله علي القوه وان ضرك الوقت دورني وتلقاني 💜 حسابشخصي,Gulf
1183496112512081920,LB,5,كما الماء نحن 😂 يا اخي كرمال الله مين بيكتبلك هالحكيات,Levantine
868172093652848640,PL,11,حسابشخصي هه اسئله بتجلط والله,Levantine
1063088972048535552,QA,4,حسابشخصي حسابشخصي حسابشخصي تركت الرد عليك للوقت المناسب وشرايك بالي صار,Gulf
580137593511215104,SY,7,حسابشخصي حلو الكلام . . و مع اني شب 👍 ,Levantine
997220319109832832,LB,5,حسابشخصي حسابشخصي حسابشخصي صحيح نجيب ميقاتي مسمي من قبل حزب ايران بس اكيد ما رح تعتقل الشباب وتتعذب متل ما حصل بعهد المشنوق . ,Levantine
642086009337851904,AE,15,حسابشخصي هذا من طيب اصلك اخوي حسن . والنعم فيكم وفقيادتكم اللي يشهد الله ان لها معزه كبيره فقلوبنا، ربي يحفظ الخليج وكل دول الاسلام السمح,Gulf
930367135418810368,DZ,14,حسابشخصي وهدي عبد تحكيوا علاها ملقيتوا علي من تحكيوا علي زينه 😬 ,Maghrebi
1145269579528249216,LB,5,حسابشخصي دوقي و ما بتندمي,Levantine
919798595133628416,IQ,8,حسابشخصي المهم يقلد جيمس بوند مو المهم العدو 😅 ,Gulf
967860341538545664,AE,15,ياخي بليغريني اي نوع من انواع الحيوانات ! ! ياخي ارحمنا من لعبك الخرا و روح موت العن ابوك ولد الكلب,Gulf
957628315493335040,TN,16,مافهمتش علاش تويتر عندو مشكله معايا امس عمل لي صبام واليوم الاشعارات تطلعلي متاخره,Maghrebi
1051582269411008384,LY,17,يحبونا امتي مايبوا ، يتجاهلونا زي مايبوا ، ويستاحشونا علي مزاجهم ، و المطلوب منا ان مانتغيروش . . . ! * تي شن حالك باهي * ,Maghrebi
1056572244732702848,TN,16,بلنتيي واضحه يا غبي,Maghrebi
835397106970021888,IQ,8,من معسكر الغزلاني الان القبض علي من بقي والموت لمن هرب✌✌ رابطويب رابطويب,Gulf
975416562457956352,SD,1,حسابشخصي حسابشخصي يا بسبس الزول دا كبرا مننا بعد ما مشي دبي . . نسي العشره سريع 😂 ,Maghrebi
1022755679667474432,SA,2,من يترك الميقاف ماهو برجال سوا سوا في البيت هو والحليله وين الكرم والجود . ورجال الاعمال وين الشيوخ اللي الحمل ترتكيله ياليت يطلع واحد مثل #فنحال اللي عطاء يمناه ماجف سيله الرجل يبدي بالفعل . روس الاقذال والا . ضعيف النفس لازم مقيله #عوض_العلياني رابطويب,Gulf
920366640558215168,EG,10,حسابشخصي يا عم بقي بلا شهرزاد بلا شهريار 😀 ,Egyptian
650059482345639936,SY,7,حسابشخصي وعدادو خربان ! ! او مو عطريقو . ,Levantine
1124818681337450368,PL,11,احسن اشي اروح عند محمد عالسوبر ماركت بدل الزهق هادا 😍 ,Levantine
1150015165892583424,SA,2,#العلاوه_السنويه 2 . بطفوله كنت اروح للمدرسه جوعانه . امي تكون مشغوله برعايه اخواني اصغار كانت لابله تشرح ولا اسمع من صوت الجوع ببطني كنت بس شارد اذهن ومسكتني ابله وقالت روحي حق المقصف وخذي الي تبان واطعلي كانت تحاسب هي كنت سعيده يارب احفض كل المعلمين اسعودين,Gulf
1169305870490132480,EG,10,حسابشخصي احنا لا بنجلده ولا بنرهب حد، مره تانيه اللي بيتكلم مش دوافعه الحقيقه وهيسكت خوفا من وجع الدماغ، اللي بيتكلم بدافع الانتقام وغسل ايده وتمثيل دور الشريف، واحنا بنحط الامور في نصابها الحقيقي، انه واحد منهم وخناقه حراميه، بدل ما نصنع ابطال من ورق,Egyptian
1167381007869202432,IQ,8,حسابشخصي بعد ما شفت الريال ضد بلد الوليد اتمني حماسك ما يضيع بلاش,Gulf
1009139019886878848,OM,0,حسابشخصي شكرا لكم علي ترك الحاويات من قبل العيد رابطويب,Gulf
1155442994587344896,OM,0,حسابشخصي ليه ياهموسه علي وين 😯 ,Gulf
1127612896391892992,AE,15,حسابشخصي يرحمه الله ويغفر له,Gulf
957799402097270784,IQ,8,هاي كلش كلش صح مايخيب احساسي رابطويب,Gulf
721043860319780864,EG,10,حسابشخصي كسمك ع كسم اليوم السابع,Egyptian
993921521461719040,LB,5,حسابشخصي طمني بالك ما بدنا دعمو لان بسببو ضاعت بيروت وصيدا وطرابلس,Levantine
1166355587522813952,YE,12,حسابشخصي بما ان #النصر فاز امس بالنسبه مباراه #الهلال و #الاتحاد انا لقيت حل كل ماسجل اي من الفريقين هدف اقول للثاني القم يا وضيع كذا اكون مرتاح #الاتحاد_الهلال_دوري_اسيا,Gulf
842776918688763904,OM,0,هذا كرسينا وقهوتنا و جرحك انتي ماتدرين ليه احتار واشكي وانتي دايم تساليني ليه تضحك والله ماعمرك سالتي ليه تبكي ! ,Gulf
1185531686907469824,DZ,14,حسابشخصي مالعبها ما والو كان عايش في روما وقبل لندن و بازل مكانش قال معتكف في مكه و طبيعي اصبح لاعب عالمي و لازم يدخل دراهم كبار و يستعمل اسمه في الاشهارات وهذا مفروغ منه اما البقيه الناس هوما لي رجعوه هكذاك و نفخوه و حبو يرجعوه اله او رسول بيسك انا متابعو مليح و علابالي وين غلط وكيفاه,Maghrebi
948296123176898560,IQ,8,حسابشخصي صدك فرحت بس بنفس الوقت عصبت لان خوش لعبوا,Gulf
1180593263503273984,MA,9,حسابشخصي حسابشخصي ماعنديش مشكل ناخذهم هنا ولا لهيه,Maghrebi
1048310877215178752,LY,17,حسابشخصي لا ياعيوش مش القصد لكن هذا يقول في كلام حتي النساوين معاش يدرو في بعضهم عليه في العزاوات,Maghrebi
932938359948922752,AE,15,حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي حسابشخصي احتر ع شو ي حسره ع وحده ماتدري وين الله عاقنها 😂 مسكينه تبطين ما احتر وانا من دار حكامها ال نهيان 👌 🏻 اخذج ع قد عقلج الصغير ملانه شسوي 😂 ,Gulf
940503149743411200,SA,2,حسابشخصي والله ياشباب سعودين في الرياض والدمام يسون اكل اطلق من اكل المطاعم اللي كلها اجانب ومعدومه فيها النظافه 😷 ,Gulf
1077714461845348352,LY,17,حسابشخصي 🇸🇾 قصقص حبي انت 😍 😍 بحبكك هلباا هلبات 😘 ❤ والله يخليلي ياك ولايحرمني من قلبك ياروح الروح 😭 ❤ ميرسي حبيبي 💓 #جمهوري_وغوالي_قلبي_الغير_الشكل 👌 … رابطويب,Maghrebi
570290199852408832,EG,10,احمد عز علي قناه النهار بيحكي عن الظلم اللي شافه ! يارب الفيزا من عندك يا رب,Egyptian
1152648268846915584,DZ,14,جبناها حمد لله #الكحلوشه رابطويب,Maghrebi
